"XOM","Exxon Mobil Corporation","8/18/2017",76.18,76.64,"+0.50%"
"IBM","International Business Machines","8/18/2017",140.87,139.70,"-0.71%"
"JNJ","Johnson & Johnson","8/18/2017",132.67,132.63,"-0.31%"
"MSFT","Microsoft Corporation","8/18/2017",72.27,72.49,"+0.12%"
